alder,utdanning,erfaring,jobb,sted,fag,kolleger,lønn,bonus,fornøyd
21-25,5,25,konsulent,Rogaland,fullstack,1.000 - 10.000,725000,Ja,Ja
26-30,5,2,"in-house, privat sektor",Oslo,data science,1.000 - 10.000,725000,Nei,Ja
31-35,4,12,"in-house, offentlig/kommunal sektor",Oslo,frontend,1.000 - 10.000,725000,Ja,Nei
51-55,6,27,"in-house, offentlig/kommunal sektor",Oslo,ledelse/administrativt,1.000 - 10.000,725000,Nei,Ja
15-20,2,5,"in-house, privat sektor",Oslo,fullstack,100 - 500,725000,Nei,Ja
26-30,3,4,"in-house, privat sektor",Vestland,frontend,100 - 500,725000,Nei,Ja
26-30,3,7,"in-house, offentlig/kommunal sektor",Innlandet,frontend,100 - 500,725000,Nei,Ja
26-30,3,6,"in-house, offentlig/kommunal sektor",Vestland,fullstack,100 - 500,725000,Nei,Nei
26-30,5,25,konsulent,Oslo,ledelse/administrativt,100 - 500,725000,Ja,Ja
26-30,3,8,"in-house, privat sektor",Oslo,ledelse/administrativt,50 - 100,725000,Ja,Ja
21-25,5,2,"in-house, offentlig/kommunal sektor",Oslo,devops,500 - 1.000,725000,Nei,Ja
26-30,3,2,"in-house, offentlig/kommunal sektor",Oslo,frontend,500 - 1.000,725000,Ja,Ja
31-35,0,6,"in-house, privat sektor",Oslo,frontend,over 10.000,725000,Nei,Ja
36-40,,22,"in-house, privat sektor",Rogaland,ledelse/administrativt,over 10.000,725000,Nei,Nei
31-35,3,15,konsulent,Trøndelag,automatisering,100 - 500,726000,Nei,Nei
36-40,3,8,"in-house, privat sektor",Troms og Finnmark,devops,100 - 500,726000,Nei,Nei
26-30,5,4,konsulent,Vestland,ledelse/administrativt,1.000 - 10.000,730000,Nei,Nei
31-35,3,10,"in-house, privat sektor",Oslo,fullstack,1.000 - 10.000,730000,Nei,Nei
26-30,3,3,konsulent,Oslo,backend,10 - 50,730000,Nei,Nei
26-30,3,5,"in-house, privat sektor",Agder,fullstack,10 - 50,730000,Nei,Nei
31-35,0,5,"in-house, privat sektor",Vestland,ledelse/administrativt,10 - 50,730000,Nei,Nei
36-40,3,15,"in-house, privat sektor",Vestfold og Telemark,fullstack,10 - 50,730000,Ja,Nei
26-30,3,5,"in-house, privat sektor",Oslo,devops,100 - 500,730000,Nei,Ja
26-30,5,2,konsulent,Oslo,frontend,100 - 500,730000,Ja,Ja
31-35,3,5,"in-house, privat sektor",Oslo,backend,100 - 500,730000,Nei,Nei
31-35,5,5,"in-house, privat sektor",Agder,databaser,100 - 500,730000,Ja,Nei
36-40,8,7,"in-house, privat sektor",Troms og Finnmark,backend,100 - 500,730000,Nei,Ja
26-30,0,5,"in-house, privat sektor",Vestland,frontend,50 - 100,730000,Nei,Ja
31-35,3,5,"in-house, privat sektor",Vestfold og Telemark,fullstack,50 - 100,730000,Ja,Nei
26-30,5,3,"in-house, privat sektor",Troms og Finnmark,data science,500 - 1.000,730000,Nei,Ja
26-30,3,3,"in-house, privat sektor",Oslo,frontend,500 - 1.000,730000,Ja,Ja
26-30,3,2,"in-house, privat sektor",Oslo,programvare,500 - 1.000,730000,Ja,Ja
31-35,4,5,"in-house, privat sektor",Viken,backend,500 - 1.000,730000,Nei,Ja
46-50,2,35,"in-house, offentlig/kommunal sektor",Innlandet,sikkerhet,500 - 1.000,730000,Nei,Nei
31-35,3,3,konsulent,Oslo,automatisering,over 10.000,730000,Nei,Nei
31-35,3,9,konsulent,Trøndelag,frontend,under 10,730000,Nei,Nei
41-45,4,22,"in-house, privat sektor",Viken,programvare,1.000 - 10.000,732652,Nei,Ja
21-25,4,3,"in-house, offentlig/kommunal sektor",Oslo,backend,100 - 500,735000,Nei,Ja
26-30,3,3,konsulent,Oslo,backend,100 - 500,735000,Ja,Nei
26-30,3,5,konsulent,Oslo,frontend,100 - 500,735000,Nei,Ja
26-30,5,2,konsulent,Oslo,fullstack,100 - 500,735000,Ja,Ja
21-25,3,2,"in-house, privat sektor",Oslo,fullstack,50 - 100,735000,Nei,Ja
26-30,5,3,konsulent,Oslo,frontend,50 - 100,735000,Nei,Ja
26-30,5,1,konsulent,Oslo,fullstack,50 - 100,735000,Nei,Ja
26-30,3,2,konsulent,Agder,fullstack,over 10.000,735000,Nei,Ja
26-30,3,6,konsulent,Rogaland,backend,100 - 500,736000,Nei,Ja
26-30,3,5,konsulent,Vestfold og Telemark,fullstack,1.000 - 10.000,740000,Ja,Ja
31-35,6,4,"in-house, offentlig/kommunal sektor",Vestland,data science,1.000 - 10.000,740000,Nei,Ja
31-35,3,10,"in-house, privat sektor",Agder,backend,10 - 50,740000,Nei,Nei
26-30,3,2,konsulent,Oslo,fullstack,100 - 500,740000,Ja,Ja
36-40,3,10,konsulent,Trøndelag,arkitektur,100 - 500,740000,Nei,Nei
36-40,3,4,konsulent,Oslo,programvare,100 - 500,740000,Nei,Ja
36-40,1,5,konsulent,Oslo,fullstack,50 - 100,740000,Nei,Ja
21-25,4,1,"in-house, privat sektor",Oslo,devops,500 - 1.000,740000,Nei,Nei
26-30,3,5,konsulent,Rogaland,devops,500 - 1.000,740000,Ja,Nei
26-30,3,8,"in-house, offentlig/kommunal sektor",Nordland,devops,500 - 1.000,740000,Nei,Ja
26-30,5,4,"in-house, offentlig/kommunal sektor",Oslo,fullstack,500 - 1.000,740000,Nei,Ja
31-35,10,5,"in-house, offentlig/kommunal sektor",Oslo,fullstack,500 - 1.000,740000,Nei,Nei
46-50,3,24,"in-house, offentlig/kommunal sektor",Nordland,arkitektur,500 - 1.000,740000,Nei,Ja
41-45,,7,"in-house, privat sektor",Oslo,frontend,under 10,740000,Ja,Nei
36-40,3,15,"in-house, privat sektor",Rogaland,fullstack,under 10,742000,Nei,Ja
31-35,2,12,"in-house, offentlig/kommunal sektor",Oslo,fullstack,100 - 500,743000,Nei,Nei
26-30,5,6,"in-house, privat sektor",Viken,arkitektur,1.000 - 10.000,744000,Nei,Nei
31-35,3,1,"in-house, offentlig/kommunal sektor",Oslo,backend,1.000 - 10.000,745000,Nei,Ja
41-45,4,17,"in-house, privat sektor",Agder,UX / design,1.000 - 10.000,745000,Ja,Ja
21-25,3,2,"in-house, privat sektor",Oslo,backend,under 10,745000,Nei,Ja
36-40,0,11,konsulent,Rogaland,frontend,under 10,745000,Nei,Ja
31-35,5,5,"in-house, privat sektor",Oslo,fullstack,50 - 100,749000,Nei,Ja
21-25,0,3,"in-house, privat sektor",Oslo,frontend,1.000 - 10.000,750000,Nei,Ja
21-25,3,2,"in-house, privat sektor",Oslo,sikkerhet,1.000 - 10.000,750000,Nei,Ja
26-30,5,5,"in-house, offentlig/kommunal sektor",Agder,backend,1.000 - 10.000,750000,Nei,Ja
26-30,5,2,konsulent,Oslo,data science,1.000 - 10.000,750000,Ja,Nei
26-30,3,5,konsulent,Trøndelag,fullstack,1.000 - 10.000,750000,Ja,Ja
31-35,5,6,konsulent,Oslo,backend,1.000 - 10.000,750000,Nei,Nei
31-35,3,4,"in-house, privat sektor",Rogaland,fullstack,1.000 - 10.000,750000,Nei,Ja
36-40,3,3,"in-house, privat sektor",Viken,frontend,1.000 - 10.000,750000,Nei,Ja
41-45,1,24,"in-house, offentlig/kommunal sektor",Oslo,backend,1.000 - 10.000,750000,Nei,Nei
21-25,3,3,konsulent,Oslo,fullstack,10 - 50,750000,Nei,Nei
26-30,3,4,konsulent,Møre og Romsdal,frontend,10 - 50,750000,Nei,Ja
26-30,5,0,"in-house, privat sektor",Oslo,fullstack,10 - 50,750000,Nei,Ja
26-30,0,4,"in-house, privat sektor",Trøndelag,fullstack,10 - 50,750000,Ja,Ja
26-30,3,10,"in-house, privat sektor",Oslo,fullstack,10 - 50,750000,Nei,Nei
26-30,3,4,"in-house, privat sektor",Oslo,fullstack,10 - 50,750000,Ja,Ja
26-30,3,5,"in-house, privat sektor",Trøndelag,fullstack,10 - 50,750000,Ja,Nei
31-35,7,9,"in-house, privat sektor",Trøndelag,data science,10 - 50,750000,Nei,Ja
31-35,5,5,"in-house, privat sektor",Viken,data science,10 - 50,750000,Nei,Ja
31-35,5,5,konsulent,Vestland,data science,10 - 50,750000,Ja,Nei
31-35,0,17,"in-house, privat sektor",Viken,frontend,10 - 50,750000,Nei,Nei
31-35,5,6,"in-house, offentlig/kommunal sektor",Oslo,fullstack,10 - 50,750000,Nei,Nei
31-35,4,5,"in-house, privat sektor",Oslo,fullstack,10 - 50,750000,Ja,Ja
31-35,,14,"in-house, privat sektor",Vestland,fullstack,10 - 50,750000,Nei,Ja
31-35,0,12,"in-house, privat sektor",Oslo,ledelse/administrativt,10 - 50,750000,Nei,Nei
31-35,5,13,konsulent,Innlandet,UX / design,10 - 50,750000,Ja,Ja
36-40,2,8,konsulent,Vestland,fullstack,10 - 50,750000,Ja,Ja
36-40,5,6,"in-house, privat sektor",Vestland,testing,10 - 50,750000,Nei,Ja
41-45,0,20,konsulent,Vestfold og Telemark,frontend,10 - 50,750000,Nei,Ja
41-45,4,19,"in-house, privat sektor",Vestfold og Telemark,frontend,10 - 50,750000,Nei,Nei
46-50,,28,konsulent,Agder,ingen av disse,10 - 50,750000,Nei,Nei
21-25,3,2,"in-house, privat sektor",Oslo,backend,100 - 500,750000,Ja,Nei
21-25,3,4,"in-house, privat sektor",Oslo,ingen av disse,100 - 500,750000,Ja,Ja
26-30,0,3,konsulent,Oslo,backend,100 - 500,750000,Ja,Ja
26-30,5,4,"in-house, privat sektor",Vestland,backend,100 - 500,750000,Ja,Ja
26-30,5,2,"in-house, privat sektor",Oslo,data science,100 - 500,750000,Nei,Nei
26-30,3,7,"in-house, privat sektor",Oslo,devops,100 - 500,750000,Nei,Nei
26-30,4,7,"in-house, privat sektor",Rogaland,frontend,100 - 500,750000,Nei,Nei
26-30,6,0,konsulent,Rogaland,fullstack,100 - 500,750000,Nei,Ja
26-30,6,1,konsulent,Oslo,fullstack,100 - 500,750000,Ja,Ja
26-30,5,4,"in-house, privat sektor",Oslo,fullstack,100 - 500,750000,Nei,Ja
26-30,3,6,"in-house, offentlig/kommunal sektor",Vestland,fullstack,100 - 500,750000,Nei,Nei
26-30,,6,"in-house, privat sektor",Oslo,fullstack,100 - 500,750000,Nei,Ja
26-30,3,7,"in-house, privat sektor",Oslo,fullstack,100 - 500,750000,Nei,Ja
31-35,0,3,"in-house, privat sektor",Oslo,backend,100 - 500,750000,Nei,Ja
31-35,2,17,konsulent,Agder,backend,100 - 500,750000,Nei,Ja
31-35,0,4,"in-house, privat sektor",Oslo,frontend,100 - 500,750000,Nei,Ja
31-35,3,5,"in-house, privat sektor",Innlandet,fullstack,100 - 500,750000,Nei,Nei
31-35,5,9,"in-house, privat sektor",Vestland,fullstack,100 - 500,750000,Nei,Nei
31-35,3,11,"in-house, privat sektor",Oslo,UX / design,100 - 500,750000,Nei,Ja
36-40,3,3,konsulent,Oslo,backend,100 - 500,750000,Ja,Ja
36-40,0,14,konsulent,Trøndelag,sikkerhet,100 - 500,750000,Nei,Ja
41-45,4,15,"in-house, offentlig/kommunal sektor",Vestland,databaser,100 - 500,750000,Nei,Nei
41-45,3,15,konsulent,Oslo,fullstack,100 - 500,750000,Ja,Nei
41-45,,24,"in-house, privat sektor",Vestfold og Telemark,fullstack,100 - 500,750000,Nei,Nei
41-45,6,18,"in-house, offentlig/kommunal sektor",Rogaland,ledelse/administrativt,100 - 500,750000,Nei,Nei
21-25,3,4,"in-house, privat sektor",Troms og Finnmark,app,50 - 100,750000,Ja,Nei
21-25,3,2,"in-house, privat sektor",Troms og Finnmark,fullstack,50 - 100,750000,Ja,Nei
26-30,3,5,konsulent,Oslo,app,50 - 100,750000,Nei,Nei
26-30,5,3,"in-house, offentlig/kommunal sektor",Trøndelag,app,50 - 100,750000,Nei,Ja
26-30,3,4,"in-house, privat sektor",Oslo,fullstack,50 - 100,750000,Nei,Nei
31-35,7,5,"in-house, offentlig/kommunal sektor",Nordland,data science,50 - 100,750000,Nei,Ja
36-40,3,10,konsulent,Møre og Romsdal,backend,50 - 100,750000,Nei,Nei
36-40,5,11,"in-house, privat sektor",Vestfold og Telemark,backend,50 - 100,750000,Nei,Nei
26-30,5,3,konsulent,Rogaland,app,500 - 1.000,750000,Ja,Ja
26-30,5,2,"in-house, privat sektor",Vestland,fullstack,500 - 1.000,750000,Ja,Nei
31-35,5,5,"in-house, privat sektor",Oslo,fullstack,500 - 1.000,750000,Nei,Ja
31-35,5,5,"in-house, offentlig/kommunal sektor",Oslo,fullstack,500 - 1.000,750000,Nei,Nei
46-50,6,23,"in-house, privat sektor",Møre og Romsdal,backend,500 - 1.000,750000,Nei,Ja
21-25,5,0,"in-house, privat sektor",Oslo,data science,over 10.000,750000,Ja,Ja
21-25,3,2,"in-house, privat sektor",Oslo,frontend,over 10.000,750000,Ja,Ja
26-30,6,6,"in-house, privat sektor",Viken,sikkerhet,over 10.000,750000,Nei,Ja
31-35,4,7,"in-house, privat sektor",Vestland,backend,over 10.000,750000,Ja,Nei
31-35,2,4,"in-house, privat sektor",Troms og Finnmark,frontend,over 10.000,750000,Ja,Nei
31-35,3,9,konsulent,Oslo,fullstack,over 10.000,750000,Nei,Ja
31-35,4,9,"in-house, privat sektor",Oslo,programvare,over 10.000,750000,Ja,Nei
36-40,3,4,konsulent,Oslo,testing,over 10.000,750000,Nei,Ja
26-30,5,8,"in-house, offentlig/kommunal sektor",Viken,automatisering,under 10,750000,Ja,Nei
26-30,3,3,"in-house, privat sektor",Rogaland,fullstack,under 10,750000,Nei,Ja
26-30,3,6,konsulent,Viken,fullstack,under 10,750000,Nei,Ja
31-35,5,5,"in-house, privat sektor",Oslo,frontend,under 10,750000,Nei,Ja
36-40,5,12,konsulent,Trøndelag,fullstack,under 10,750000,Nei,Nei
36-40,5,15,konsulent,Vestland,fullstack,under 10,750000,Nei,Ja
41-45,3,10,"in-house, privat sektor",Oslo,embedded/IOT/maskinvare,under 10,750000,Nei,Ja
46-50,7,20,frilans / selvstendig næringsdrivende,Vestland,fullstack,under 10,750000,Nei,Ja
46-50,3,25,"in-house, privat sektor",Møre og Romsdal,fullstack,under 10,750000,Ja,Ja
51-55,0,36,frilans / selvstendig næringsdrivende,Oslo,ingen av disse,under 10,750000,Nei,Ja
26-30,5,4,konsulent,Oslo,fullstack,over 10.000,752000,Ja,Nei
26-30,4,4,"in-house, privat sektor",Oslo,sikkerhet,100 - 500,753800,Ja,Nei
26-30,3,3,konsulent,Oslo,backend,1.000 - 10.000,755000,Nei,Ja
26-30,3,4,"in-house, privat sektor",Oslo,fullstack,1.000 - 10.000,755000,Ja,Nei
26-30,3,7,"in-house, privat sektor",Oslo,app,500 - 1.000,756000,Nei,Nei
46-50,5,17,"in-house, privat sektor",Nordland,backend,under 10,756000,Nei,Nei
36-40,3,15,"in-house, privat sektor",Agder,automatisering,50 - 100,758000,Nei,Nei
36-40,3,15,"in-house, offentlig/kommunal sektor",Oslo,fullstack,10 - 50,759500,Ja,Nei
21-25,3,4,konsulent,Rogaland,fullstack,1.000 - 10.000,760000,Ja,Ja
31-35,5,4,konsulent,Oslo,fullstack,1.000 - 10.000,760000,Nei,Nei
26-30,5,2,"in-house, privat sektor",Viken,fullstack,10 - 50,760000,Ja,Ja
31-35,3,8,"in-house, privat sektor",Oslo,frontend,10 - 50,760000,Nei,Ja
31-35,3,4,"in-house, privat sektor",Nordland,frontend,10 - 50,760000,Ja,Ja
36-40,0,17,konsulent,Oslo,ingen av disse,10 - 50,760000,Nei,Ja
36-40,2,6,"in-house, privat sektor",Oslo,UX / design,10 - 50,760000,Nei,Nei
31-35,5,6,konsulent,Oslo,data science,100 - 500,760000,Ja,Ja
36-40,3,4,konsulent,Vestland,testing,100 - 500,760000,Nei,Ja
26-30,6,2,"in-house, privat sektor",Oslo,data science,50 - 100,760000,Ja,Ja
21-25,3,2,konsulent,Oslo,fullstack,500 - 1.000,760000,Nei,Ja
31-35,3,11,"in-house, privat sektor",Rogaland,fullstack,500 - 1.000,760000,Nei,Ja
41-45,,5,"in-house, offentlig/kommunal sektor",Oslo,backend,over 10.000,760000,Nei,Nei
46-50,0,15,"in-house, privat sektor",Oslo,testing,over 10.000,760000,Nei,Ja
31-35,3,7,"in-house, privat sektor",Oslo,fullstack,under 10,760000,Nei,Ja
36-40,5,12,"in-house, offentlig/kommunal sektor",Oslo,automatisering,1.000 - 10.000,761000,Nei,Ja
26-30,0,6,"in-house, privat sektor",Agder,fullstack,50 - 100,761000,Nei,Ja
51-55,2,15,"in-house, privat sektor",Oslo,fullstack,1.000 - 10.000,764000,Nei,Ja
31-35,3,10,"in-house, privat sektor",Vestland,programvare,500 - 1.000,764960,Ja,Nei
41-45,5,15,"in-house, privat sektor",Viken,programvare,10 - 50,765000,Nei,Nei
26-30,5,3,"in-house, privat sektor",Oslo,embedded/IOT/maskinvare,100 - 500,765000,Nei,Ja
26-30,5,3,konsulent,Trøndelag,fullstack,1.000 - 10.000,770000,Ja,Nei
31-35,3,2,"in-house, privat sektor",Oslo,app,1.000 - 10.000,770000,Ja,Ja
31-35,3,8,konsulent,Oslo,fullstack,1.000 - 10.000,770000,Nei,Nei
36-40,1,5,"in-house, privat sektor",Agder,fullstack,1.000 - 10.000,770000,Nei,Ja
36-40,3,14,"in-house, offentlig/kommunal sektor",Oslo,sikkerhet,1.000 - 10.000,770000,Nei,Nei
41-45,3,15,"in-house, privat sektor",Trøndelag,frontend,1.000 - 10.000,770000,Ja,Nei
26-30,3,4,"in-house, privat sektor",Oslo,fullstack,10 - 50,770000,Nei,Ja
26-30,5,1,konsulent,Oslo,ledelse/administrativt,10 - 50,770000,Ja,Ja
26-30,4,5,"in-house, privat sektor",Oslo,backend,100 - 500,770000,Nei,Ja
26-30,5,4,konsulent,Oslo,frontend,100 - 500,770000,Ja,Nei
26-30,5,4,konsulent,Oslo,ledelse/administrativt,100 - 500,770000,Nei,Ja
31-35,3,12,"in-house, privat sektor",Trøndelag,fullstack,100 - 500,770000,Nei,Ja
36-40,0,4,"in-house, privat sektor",Oslo,backend,100 - 500,770000,Ja,Ja
26-30,5,3,"in-house, privat sektor",Oslo,fullstack,50 - 100,770000,Nei,Nei
31-35,1,5,konsulent,Oslo,devops,50 - 100,770000,Ja,Ja
26-30,5,3,konsulent,Oslo,fullstack,500 - 1.000,770000,Nei,Ja
31-35,5,5,"in-house, privat sektor",Agder,fullstack,500 - 1.000,770000,Ja,Ja
26-30,3,4,konsulent,Trøndelag,fullstack,10 - 50,775000,Nei,Ja
21-25,5,2,konsulent,Oslo,backend,100 - 500,775000,Nei,Ja
26-30,4,2,"in-house, offentlig/kommunal sektor",Oslo,data science,100 - 500,775000,Nei,Ja
46-50,2,25,"in-house, privat sektor",Vestland,backend,100 - 500,775000,Nei,Ja
26-30,5,4,konsulent,Rogaland,UX / design,50 - 100,775000,Ja,Ja
26-30,3,3,"in-house, privat sektor",Oslo,fullstack,500 - 1.000,775000,Nei,Ja
36-40,3,10,"in-house, privat sektor",Oslo,fullstack,under 10,775000,Nei,Nei
31-35,,6,"in-house, privat sektor",Møre og Romsdal,fullstack,50 - 100,775200,Ja,Ja
46-50,4,23,"in-house, privat sektor",Troms og Finnmark,arkitektur,1.000 - 10.000,776000,Nei,Nei
31-35,3,3,"in-house, privat sektor",Oslo,devops,1.000 - 10.000,777000,Nei,Nei
26-30,5,1,konsulent,Oslo,fullstack,100 - 500,777000,Ja,Ja
36-40,0,6,"in-house, offentlig/kommunal sektor",Oslo,automatisering,1.000 - 10.000,780000,Nei,Ja
36-40,3,10,"in-house, privat sektor",utlandet,ledelse/administrativt,1.000 - 10.000,780000,Ja,Ja
46-50,0,27,"in-house, offentlig/kommunal sektor",Vestfold og Telemark,fullstack,1.000 - 10.000,780000,Nei,Nei
26-30,3,5,konsulent,Oslo,frontend,10 - 50,780000,Ja,Ja
31-35,5,5,"in-house, privat sektor",Agder,backend,10 - 50,780000,Nei,Ja
36-40,0,5,"in-house, privat sektor",Viken,programvare,10 - 50,780000,Nei,Ja
41-45,2,20,"in-house, privat sektor",Vestfold og Telemark,frontend,10 - 50,780000,Nei,Ja
26-30,3,2,"in-house, privat sektor",Rogaland,backend,100 - 500,780000,Nei,Ja
26-30,5,1,"in-house, privat sektor",Oslo,backend,100 - 500,780000,Nei,Ja
26-30,6,4,konsulent,Oslo,backend,100 - 500,780000,Nei,Ja
26-30,5,4,konsulent,Trøndelag,backend,100 - 500,780000,Ja,Ja
26-30,0,6,konsulent,Vestland,fullstack,100 - 500,780000,Nei,Ja
31-35,5,2,"in-house, privat sektor",Oslo,fullstack,100 - 500,780000,Nei,Ja
36-40,5,14,"in-house, privat sektor",Vestland,fullstack,100 - 500,780000,Nei,Nei
46-50,4,25,"in-house, privat sektor",Oslo,ledelse/administrativt,100 - 500,780000,Nei,Nei
31-35,3,5,"in-house, privat sektor",Oslo,backend,50 - 100,780000,Nei,Nei
31-35,3,2,konsulent,Oslo,frontend,50 - 100,780000,Ja,Ja
41-45,5,17,"in-house, privat sektor",Viken,backend,50 - 100,780000,Nei,Ja
21-25,3,3,konsulent,Innlandet,fullstack,500 - 1.000,780000,Ja,Nei
26-30,5,2,konsulent,Oslo,app,500 - 1.000,780000,Nei,Ja
26-30,3,4,"in-house, offentlig/kommunal sektor",Oslo,backend,500 - 1.000,780000,Nei,Ja
26-30,5,2,konsulent,Oslo,fullstack,500 - 1.000,780000,Nei,Nei
36-40,,0,"in-house, privat sektor",Oslo,data science,500 - 1.000,780000,Nei,Ja
41-45,3,10,"in-house, offentlig/kommunal sektor",Troms og Finnmark,fullstack,500 - 1.000,780000,Nei,Ja
36-40,5,10,konsulent,Oslo,automatisering,over 10.000,780000,Ja,Ja
46-50,3,25,"in-house, offentlig/kommunal sektor",Vestland,fullstack,over 10.000,780000,Nei,Nei
31-35,3,6,frilans / selvstendig næringsdrivende,Vestfold og Telemark,fullstack,under 10,780000,Nei,Ja
36-40,5,15,"in-house, privat sektor",Vestland,backend,under 10,780000,Nei,Ja
41-45,5,15,frilans / selvstendig næringsdrivende,Agder,backend,under 10,780000,Nei,Ja
21-25,3,3,konsulent,Oslo,fullstack,100 - 500,782000,Nei,Ja
41-45,3,19,"in-house, privat sektor",Trøndelag,fullstack,100 - 500,783000,Nei,Ja
26-30,5,2,"in-house, privat sektor",Oslo,backend,1.000 - 10.000,785000,Ja,Ja
26-30,3,6,konsulent,Oslo,frontend,1.000 - 10.000,785000,Ja,Nei
31-35,,8,"in-house, privat sektor",Oslo,backend,1.000 - 10.000,785000,Nei,Nei
31-35,3,5,"in-house, privat sektor",Oslo,databaser,10 - 50,785000,Ja,Nei
41-45,4,6,konsulent,Vestfold og Telemark,backend,50 - 100,785000,Nei,Ja
36-40,0,21,"in-house, privat sektor",Oslo,databaser,500 - 1.000,785596,Ja,Nei
26-30,3,3,"in-house, offentlig/kommunal sektor",Oslo,ledelse/administrativt,1.000 - 10.000,788000,Nei,Ja
41-45,5,18,"in-house, privat sektor",Rogaland,fullstack,10 - 50,790000,Nei,Nei
26-30,4,3,konsulent,Trøndelag,backend,100 - 500,790000,Ja,Ja
31-35,3,15,"in-house, offentlig/kommunal sektor",Oslo,ledelse/administrativt,100 - 500,790000,Nei,Nei
36-40,3,12,konsulent,Møre og Romsdal,fullstack,100 - 500,790000,Nei,Ja
41-45,3,20,"in-house, privat sektor",Oslo,fullstack,50 - 100,790000,Ja,Ja
31-35,5,5,konsulent,Oslo,frontend,500 - 1.000,790000,Nei,Nei
36-40,3,5,konsulent,Rogaland,frontend,500 - 1.000,790000,Ja,Nei
26-30,5,4,"in-house, privat sektor",Oslo,arkitektur,over 10.000,790000,Ja,Nei
36-40,5,10,"in-house, offentlig/kommunal sektor",Oslo,frontend,over 10.000,790000,Nei,Ja
26-30,5,4,konsulent,Oslo,fullstack,over 10.000,795000,Nei,Ja
26-30,5,4,konsulent,Oslo,frontend,100 - 500,796000,Nei,Nei
26-30,3,3,"in-house, privat sektor",Vestfold og Telemark,backend,100 - 500,798000,Nei,Nei
21-25,0,9,"in-house, offentlig/kommunal sektor",Trøndelag,arkitektur,1.000 - 10.000,800000,Nei,Ja
26-30,5,4,"in-house, privat sektor",Oslo,app,1.000 - 10.000,800000,Ja,Nei
26-30,5,5,konsulent,Rogaland,arkitektur,1.000 - 10.000,800000,Ja,Ja
26-30,5,4,konsulent,Oslo,backend,1.000 - 10.000,800000,Ja,Ja
26-30,3,6,"in-house, privat sektor",Oslo,frontend,1.000 - 10.000,800000,Nei,Nei
26-30,0,11,"in-house, privat sektor",Oslo,ingen av disse,1.000 - 10.000,800000,Nei,Ja
26-30,5,5,konsulent,Rogaland,programvare,1.000 - 10.000,800000,Ja,Nei
31-35,5,11,"in-house, offentlig/kommunal sektor",Oslo,frontend,1.000 - 10.000,800000,Nei,Ja
31-35,5,2,"in-house, privat sektor",Oslo,fullstack,1.000 - 10.000,800000,Ja,Nei
46-50,3,23,konsulent,Trøndelag,ingen av disse,1.000 - 10.000,800000,Nei,Nei
46-50,,30,"in-house, offentlig/kommunal sektor",Viken,sikkerhet,1.000 - 10.000,800000,Nei,Nei
26-30,5,4,konsulent,Vestland,backend,10 - 50,800000,Nei,Ja
26-30,3,4,konsulent,Vestland,frontend,10 - 50,800000,Nei,Ja
26-30,4,4,konsulent,Rogaland,frontend,10 - 50,800000,Ja,Ja
26-30,3,8,"in-house, privat sektor",Viken,frontend,10 - 50,800000,Ja,Ja
26-30,6,2,"in-house, privat sektor",Oslo,fullstack,10 - 50,800000,Nei,Ja
26-30,5,4,"in-house, privat sektor",Oslo,fullstack,10 - 50,800000,Nei,Ja
26-30,5,4,"in-house, privat sektor",Oslo,fullstack,10 - 50,800000,Nei,Nei
31-35,5,8,konsulent,Innlandet,fullstack,10 - 50,800000,Ja,Nei
31-35,3,7,"in-house, privat sektor",Oslo,fullstack,10 - 50,800000,Ja,Nei
31-35,5,13,"in-house, privat sektor",Rogaland,fullstack,10 - 50,800000,Nei,Ja
31-35,0,8,"in-house, privat sektor",Trøndelag,fullstack,10 - 50,800000,Ja,Nei
31-35,3,10,konsulent,Vestfold og Telemark,ledelse/administrativt,10 - 50,800000,Nei,Ja
36-40,4,10,"in-house, privat sektor",Viken,automatisering,10 - 50,800000,Nei,Ja
36-40,3,15,"in-house, privat sektor",Oslo,backend,10 - 50,800000,Ja,Nei
36-40,3,2,"in-house, privat sektor",Oslo,fullstack,10 - 50,800000,Nei,Ja
36-40,3,2,"in-house, privat sektor",Oslo,fullstack,10 - 50,800000,Nei,Ja
36-40,1,15,"in-house, privat sektor",Vestland,ledelse/administrativt,10 - 50,800000,Nei,Nei
41-45,0,24,konsulent,Oslo,arkitektur,10 - 50,800000,Nei,Nei
21-25,3,3,"in-house, privat sektor",Oslo,backend,100 - 500,800000,Nei,Ja
21-25,3,2,konsulent,Vestland,fullstack,100 - 500,800000,Nei,Ja
26-30,4,7,konsulent,Oslo,app,100 - 500,800000,Nei,Nei
26-30,0,9,"in-house, privat sektor",Rogaland,automatisering,100 - 500,800000,Nei,Ja
26-30,3,5,"in-house, privat sektor",Oslo,backend,100 - 500,800000,Nei,Ja
26-30,3,2,"in-house, privat sektor",Oslo,devops,100 - 500,800000,Nei,Ja
26-30,,4,"in-house, privat sektor",Oslo,devops,100 - 500,800000,Nei,Nei
26-30,3,4,"in-house, privat sektor",Oslo,devops,100 - 500,800000,Ja,Ja
26-30,5,3,konsulent,Oslo,frontend,100 - 500,800000,Ja,Nei
26-30,5,3,konsulent,Oslo,fullstack,100 - 500,800000,Ja,Ja
26-30,5,1,"in-house, privat sektor",Oslo,fullstack,100 - 500,800000,Nei,Ja
26-30,5,4,konsulent,Oslo,sikkerhet,100 - 500,800000,Nei,Nei
31-35,5,4,konsulent,Trøndelag,automatisering,100 - 500,800000,Ja,Ja
